,교과목명,주담당교수
765,해양천연물 신약 개론 및 실험,강헌중
766,의류소재 기초화학 및 실험,오지현
767,패션마케팅커뮤니케이션,허희진
768,여성복 테일러링,박진희
769,남성복 테일러링,남윤자
770,패션 캐드 시스템 개발방법론,김성민
771,약학개론,홍송희
773,약료학 특강,이주연
774,줄기세포 특강,차혁진
775,노화 생리학,이윤희
776,세포대사 생리학,이윤희
777,다학제 창의적 제품개발,김장길
778,다학제 창의적 제품개발,서승우
779,연구자를 위한 기술사업화 1,박종래
780,글로벌 공학 인턴십 2,윤재륜
781,딥러닝의 기초,송현오
782,호모 아키텍투스: 세계명품건축순례,김현철
783,IoT·인공지능·빅데이터 개론 및 실습,김건희
784,머신러닝을 위한 기초 수학 및 프로그래밍 실습,김성우
785,제품개발을 위한 디지털 설계 및 제조 1,김장길
786,가금임상수의학 특강,권혁준
787,젖소 생산수의학,김단일
788,야생동물의학 특론,연성찬
789,고급 수의 응급의학,김민수
791,수의 신경계 질환 특론,허은미
792,수의 인문사회학 특론,천명선
793,수의분자세포생물특강,Baek Seung Joon
794,기획과 제안,심상용
795,기초시각디자인,이은영
796,기초공업디자인,정승영
797,평면조형3,백승민
798,평면조형4,이준형
799,평면조형1,조인호
800,평면조형2,이정은
801,기초 도예,배세진
802,기초 금속공예,조성호
803,입체조형1,허산
804,입체조형2,정상현
805,선택실기,오주희
806,선택실기,고현주
807,선택실기,박지영
808,선택실기,권석란
809,선택실기,김인선
810,선택실기,허효정
811,선택실기,황지인
812,선택실기,천슬기
813,선택실기,이옥규
814,선택실기,선정원
815,선택실기,정영빈
816,선택실기,정예경
817,선택실기,송향숙
818,선택실기,김수현
819,선택실기,정원영
820,선택실기,임선영
821,선택실기,문명환
822,선택실기,안지현
823,선택실기,박순아
824,선택실기,문경아
825,선택실기,이지언
826,선택실기,김진경
827,선택실기,윤성혜
828,선택실기,이정아
829,선택실기,유경은
830,선택실기,김세경
831,선택실기,김현희
832,선택실기,이규봉
833,선택실기,김참다운
834,선택실기,김보현
835,선택실기,이예진
836,선택실기,심상욱
837,선택실기,국은선
838,선택실기,김남영
839,선택실기,박온유
840,선택실기,변정윤
841,선택실기,엄은실
842,선택실기,최재도
843,선택실기,박성진
844,선택실기,황혜재
845,선택실기,이세진
846,선택실기,배소희
847,선택실기,김태영
848,보컬 스코어 리딩,김광현
849,공연예술로서의 음악,김영선
850,병원역학과 감염관리간호,강자현
851,치의학신입생세미나,임정준
852,치의학신입생세미나,노상호
853,치의학신입생세미나,박보영
854,치의학신입생세미나,방원일
855,치의학신입생세미나,임소연
856,과학과 윤리,한동헌
857,문학과 인간이해,임정준
858,치성동통·비치성동통 임상증례기반학습,백승호
859,치과의사를 위한 경영학의 이해,임정준
860,고급 지역사회 치의학,한동헌
861,교육자로서 치과의사,이지현
862,고정성 보철학에서의 신기술,윤형인
863,원내생 진료실 증례 분석,KIM RYAN JIN YOUNG(김진영)
864,임상 포트폴리오의 적용,박신영
865,국제개발의 사회정치이론,김태균
866,유럽연합과 아시아의 거시경제학연습,문우식
867,정신보건세미나,김홍수
868,환경보건 자료분석,김성균
869,바이오모니터링과 인체노출평가,김성균
870,정부회계,김봉환
871,인권법,신윤진
872,자원순환형 도시설계 연구,김세훈
873,생지화학 모델 기반 그린인프라스트럭처 연구,류영렬
874,주제심화세미나 1,유화종
875,주제심화세미나 2,Joohang Cha
876,주제심화프로젝트 1,김범수
877,주제심화프로젝트 2,김연상
878,안보학(군사학),김정호
879,조직리더십(군사학),김정호
880,의학연구의 이해,김성준
881,의학 전문용어의 길잡이: 원어 어근부터 우리말 용어 제작까지,이정상
882,자유주제탐구,윤현배
883,의학을 위한 수학응용,이동수
884,생체이미징공학,이종호
885,기계학습 기초 및 전기정보 응용,윤성로
886,전기·정보세미나 1,문승일
887,전기·정보세미나 3,차상균
888,아시아연구지도,구하원
889,아시아 근대문화와 예술 연구,목수현
890,대학원논문연구,Alena Kulinich
891,대학원논문연구,구하원
892,대학원논문연구,Saito Ayumi
893,대학원논문연구,Smith Travis La Mar
894,대학원논문연구,Siavash Saffari
895,인도 문학 연습,Smith Travis La Mar
896,동남아시아 문명 연습,여운경
897,근대 이슬람 연습,Siavash Saffari
898,전자 및 광전자 소자,김창순
899,융합 재생의학,이강원
900,정보융합 특강,서봉원
902,사용자 경험,이중식
903,임상약동력학의 신약개발 적용,Lee Hyeong Ki
904,농생명유전체학세미나1,허진회
905,농생명유전체학콜로퀴엄1,최도일
906,분자 식물 세포 신호학,SEGONZAC CECILE MARIE HELENE
907,식물과 환경의 상호작용,SEGONZAC CECILE MARIE HELENE
908,근세 인도의 문화와 사회,이지은
909,동남아시아 문학의 이해,여운경
910,동남아시아의 전통예술과 대중문화,이지은
911,이슬람 고전 강독,Alena Kulinich
912,서아시아 문명 특강,Siavash Saffari
913,일본론 특강,서동주
914,고체역학,윤병동
915,고체역학,신용대
916,열역학,도형록
917,열역학,민경덕
918,열역학,송한호
919,기계공학실험 1,박용래
920,기계공학실험 1,박형민
921,기계공학실험 1,윤병동
922,기계공학실험 1,이우일
923,기계공학실험 2,박용래
924,기계공학실험 2,박형민
925,기계공학실험 2,윤병동
926,기계공학실험 2,이우일
927,기계제품설계,박용래
928,기계제품설계,김종원
929,응용유체역학,최해천
930,응용유체역학,송성진
931,응용열역학,송한호
932,내연기관,민경덕
933,열전달,최만수
934,열전달,이정훈
935,열전달,고승환
936,로봇공학입문,박종우
937,센서개론,고상근
938,최적에너지시스템설계,김민수
939,마이크로가공생산,이윤석
940,음향시스템공학개론,강연준
941,유동과 설계,황원태
942,마이크로-나노 기계공학,이정훈
943,연소 및 대기환경공학,도형록
944,기계시스템설계 1,박희재
945,기계시스템설계 1,안성훈
946,기계시스템설계 1,이우일
947,기계시스템설계 1,이윤석
948,기계시스템설계 1,이정훈
949,기계시스템설계 1,이경수
